,salo,jing
129+04099,60.0,55.0
129+04100,66.0,62.0
129+04101,65.0,61.0
129+04102,69.0,64.0
129+04103,70.0,65.0
129+04104,62.0,58.0
129+04105,62.0,57.0
129+04106,63.0,59.0
129+04107,65.0,61.0
129+04108,65.0,61.0
129+04109,64.0,60.0
129+04110,64.0,58.0
129+04111,63.0,58.0
129+04112,63.0,58.0
129+04113,63.0,58.0
129+04114,61.0,56.0
129+04115,59.0,55.0
129+04116,56.0,52.0
129+04117,55.0,50.0
129+04118,57.0,23.0
129+04119,57.0,16.0
129+04120,57.0,19.0
129+04121,57.0,19.0
129+04122,59.0,31.0
129+04123,56.0,49.0
129+04124,57.0,50.0
129+04127,67.0,62.0
129+04128,66.0,58.0
129+04129,67.0,61.0
129+04130,68.0,61.0
129+04131,68.0,62.0
129+04132,72.0,65.0
129+04133,71.0,64.0
129+04134,67.0,62.0
129+04135,70.0,64.0
129+04136,70.0,65.0
129+04139,70.0,65.0
129+04140,70.0,64.0
129+04141,68.0,64.0
129+04285,71.0,65.0
129+04286,69.0,64.0
129+04287,71.0,65.0
129+04288,72.0,65.0
129+04289,71.0,65.0
129+04290,70.0,65.0
129+04291,69.0,64.0
129+04292,70.0,65.0
129+04293,71.0,65.0
129+04294,67.0,62.0
129+04295,70.0,64.0
129+04296,70.0,65.0
129+04297,68.0,62.0
129+04298,70.0,65.0
129+04299,71.0,65.0
129+04300,71.0,65.0
129+04301,70.0,65.0
129+04303,70.0,65.0
129+04304,70.0,65.0
129+04305,69.0,63.0
129+04306,67.0,63.0
129+04307,69.0,59.0
129+04308,68.0,59.0
129+04309,69.0,63.0
129+04310,69.0,64.0
129+04311,68.0,63.0
129+04312,69.0,64.0
129+04313,66.0,62.0
129+04314,67.0,63.0
129+04315,68.0,63.0
129+04316,67.0,63.0
129+04317,69.0,64.0
129+04318,68.0,63.0
129+04319,69.0,65.0
129+04321,69.0,64.0
129+04322,70.0,65.0
129+04323,70.0,65.0
129+04324,70.0,65.0
129+04325,68.0,63.0
129+04346,69.0,63.0
129+04347,72.0,65.0
129+04348,72.0,65.0
129+04349,73.0,65.0
129+04350,72.0,65.0
129+04351,69.0,64.0
129+04352,66.0,60.0
129+04353,66.0,60.0
129+04354,65.0,59.0
129+04355,65.0,60.0
129+04356,65.0,61.0
129+04357,68.0,64.0
129+04358,67.0,62.0
129+04359,65.0,60.0
129+04360,65.0,59.0
129+04361,66.0,60.0
129+04362,68.0,62.0
129+04364,69.0,57.0
129+04365,66.0,61.0
129+04366,67.0,60.0
129+04367,67.0,61.0
129+04368,66.0,61.0
129+04369,67.0,62.0
129+04370,68.0,63.0
129+04371,65.0,60.0
129+04372,65.0,60.0
129+04373,67.0,62.0
129+04374,68.0,62.0
129+04375,67.0,62.0
129+04376,61.0,54.0
129+04377,64.0,59.0
129+04378,67.0,62.0
129+04379,68.0,63.0
129+04380,67.0,62.0
129+04381,67.0,62.0
129+04382,66.0,61.0
129+04383,67.0,61.0
129+04384,67.0,60.0
129+04385,65.0,59.0
129+04386,69.0,64.0
129+04387,70.0,64.0
129+04388,72.0,65.0
129+04389,72.0,65.0
129+04391,72.0,65.0
129+04392,73.0,65.0
129+04393,72.0,65.0
129+04394,73.0,65.0
129+04395,73.0,65.0
129+04396,73.0,65.0
129+04397,72.0,65.0
129+04398,70.0,65.0
129+04399,72.0,65.0
129+04423,72.0,65.0
129+04424,72.0,65.0
129+04425,72.0,65.0
129+04426,70.0,64.0
129+04428,63.0,58.0
129+04429,66.0,61.0
129+04430,66.0,61.0
129+04431,42.0,36.0
129+04432,59.0,55.0
129+04433,61.0,55.0
129+04434,60.0,52.0
129+04435,57.0,51.0
129+08582,59.0,55.0
129+08583,64.0,58.0
129-04098,63.0,60.0
129-04099,65.0,62.0
129-04100,64.0,60.0
129-04101,66.0,61.0
129-04102,68.0,63.0
129-04103,63.0,59.0
129-04104,60.0,55.0
129-04105,63.0,59.0
129-04106,65.0,61.0
129-04107,66.0,61.0
129-04108,63.0,58.0
