id,prob,path,length/travel time,id
0,0.999999985,"(1, 2)","[21.48592906517135, 0.3197331064609805]",0
6,0.591432816,"(1, 2, 3)","[31.563272974431694, 0.47043288876717937]",6
7,0.408567184,"(1, 3)","[32.02563763454545, 0.4751148888711677]",7
12,0.984149767,"(1, 2, 4)","[59.120555992381455, 0.8882992169741207]",12
18,0.589776806,"(1, 2, 3, 5)","[47.77871377970361, 0.7351248131793041]",18
19,0.407423198,"(1, 3, 5)","[48.24107843981736, 0.7398068132832925]",19
24,0.5914254,"(1, 2, 3, 6)","[44.441183008076024, 0.6982296329754639]",24
25,0.408562061,"(1, 3, 6)","[44.90354766818978, 0.7029116330794523]",25
30,0.371588326,"(1, 2, 3, 5, 7)","[60.28707596126229, 1.0017234540346167]",30
31,0.256696605,"(1, 3, 5, 7)","[60.74944062137604, 1.0064054541386052]",31
32,0.218801123,"(1, 2, 3, 6, 7)","[60.94910519251685, 1.104911730477474]",32
33,0.151149812,"(1, 3, 6, 7)","[61.41146985263061, 1.1095937305814623]",33
36,0.371588326,"(1, 2, 3, 5, 7, 8)","[74.20721038983014, 1.2186268729407361]",36
37,0.256696605,"(1, 3, 5, 7, 8)","[74.66957504994389, 1.2233088730447246]",37
38,0.218801123,"(1, 2, 3, 6, 7, 8)","[74.8692396210847, 1.3218151493835935]",38
39,0.151149812,"(1, 3, 6, 7, 8)","[75.33160428119847, 1.3264971494875817]",39
42,0.999999882,"(2, 1)","[22.83529327001614, 0.35267380393009407]",42
48,1,"(2, 3)","[10.077343909260343, 0.15069978230619882]",48
54,0.990564558,"(2, 4)","[37.6346269272101, 0.5685661105131402]",54
60,0.997200003,"(2, 3, 5)","[26.292784714532257, 0.4153917067183236]",60
66,0.999987462,"(2, 3, 6)","[22.955253942904676, 0.3784965265144834]",66
72,0.628282016,"(2, 3, 5, 7)","[38.80114689609094, 0.6819903475736363]",72
73,0.369949219,"(2, 3, 6, 7)","[39.463176127345506, 0.7851786240164935]",73
78,0.628057007,"(2, 3, 5, 7, 8)","[52.72128132465879, 0.8988937664797556]",78
79,0.369816728,"(2, 3, 6, 7, 8)","[53.383310555913354, 1.002082042922613]",79
84,0.843909065,"(3, 1)","[32.70390240871806, 0.511569659583569]",84
85,0.156090935,"(3, 2, 1)","[34.81340990141646, 0.5501135432525049]",85
90,1,"(3, 2)","[11.978116631400324, 0.1974397393224109]",90
96,0.997197728,"(3, 5, 4)","[33.37804042427784, 0.5202829014940085]",96
102,0.997200004,"(3, 5)","[16.215440805271914, 0.26469192441212475]",102
108,0.999987462,"(3, 6)","[12.877910033644334, 0.22779674420828455]",108
114,0.628282016,"(3, 5, 7)","[28.7238029868306, 0.5312905652674375]",114
115,0.369949219,"(3, 6, 7)","[29.385832218085163, 0.6344788417102947]",115
120,0.628279892,"(3, 5, 7, 8)","[42.643937415398455, 0.7481939841735568]",120
121,0.369947969,"(3, 6, 7, 8)","[43.30596664665302, 0.851382260616414]",121
126,0.97755375,"(4, 2, 1)","[61.5027164284068, 0.9389642571130705]",126
132,0.996428712,"(4, 2)","[38.667423158390655, 0.5862904531829765]",132
138,0.99604259,"(4, 5, 3)","[33.7333196981208, 0.6517732268116789]",138
144,1,"(4, 5)","[16.937200266017687, 0.3195496628408451]",144
150,0.999999188,"(4, 5, 6)","[27.708056939302065, 0.5478987208084956]",150
156,0.999348862,"(4, 5, 7)","[29.44556244757637, 0.5861483036961578]",156
162,0.999999735,"(4, 8)","[24.43532210831001, 0.3677607381124267]",162
168,0.840574468,"(5, 3, 1)","[49.50002184082118, 0.843793223554403]",168
169,0.155474162,"(5, 3, 2, 1)","[51.609529333519575, 0.8823371072233389]",169
174,0.996048629,"(5, 3, 2)","[28.774236063503437, 0.5296633032932448]",174
180,0.99604863,"(5, 3)","[16.796119432103115, 0.3322235639708339]",180
186,1,"(5, 4)","[17.16259961900593, 0.25559097708188366]",186
192,0.999999188,"(5, 6)","[10.770856673284378, 0.22834905796765043]",192
198,0.999992617,"(5, 7)","[12.508362181558683, 0.2665986408553127]",198
204,0.999987252,"(5, 7, 8)","[26.428496610126537, 0.483502059761432]",204
210,0.843901576,"(6, 3, 1)","[45.641332907053545, 0.8920189121739112]",210
211,0.156089549,"(6, 3, 2, 1)","[47.75084039975195, 0.9305627958428471]",211
216,0.999991125,"(6, 3, 2)","[24.915547129735813, 0.577888991912753]",216
222,0.999991125,"(6, 3)","[12.93743049833549, 0.3804492525903421]",222
228,0.999999127,"(6, 5, 4)","[27.84429754687486, 0.4401266478869499]",228
234,0.999999128,"(6, 5)","[10.681697927868928, 0.1845356708050662]",234
240,0.995254067,"(6, 7)","[16.50792218444083, 0.4066820975020101]",240
246,0.995254041,"(6, 7, 8)","[30.428056613008682, 0.6235855164081294]",246
252,0.43880656,"(7, 5, 3, 1)","[61.835298409795485, 1.0423156911000093]",252
253,0.40336174,"(7, 6, 3, 1)","[61.94057953667824, 1.1912296691144684]",253
254,0.081162449,"(7, 5, 3, 2, 1)","[63.9448059024939, 1.0808595747689451]",254
255,0.074606511,"(7, 6, 3, 2, 1)","[64.05008702937666, 1.2297735527834042]",255
258,0.519966803,"(7, 5, 3, 2)","[41.10951263247775, 0.7281857708388512]",258
259,0.477966224,"(7, 6, 3, 2)","[41.21479375936051, 0.8770997488533102]",259
264,0.519966803,"(7, 5, 3)","[29.131396001077427, 0.5307460315164403]",264
265,0.477966224,"(7, 6, 3)","[29.236677127960185, 0.6796600095308993]",265
270,0.999109174,"(7, 5, 4)","[29.497876187980246, 0.45411344462749004]",270
276,0.999991842,"(7, 5)","[12.335276568974313, 0.19852246754560635]",276
282,0.995702902,"(7, 6)","[16.299246629624697, 0.29921075694055715]",282
288,1,"(7, 8)","[13.920134428567852, 0.21690341890611933]",288
294,0.43880656,"(8, 7, 5, 3, 1)","[76.02995584169895, 1.250969446042775]",294
295,0.40336174,"(8, 7, 6, 3, 1)","[76.1352369685817, 1.3998834240572342]",295
296,0.081162449,"(8, 7, 5, 3, 2, 1)","[78.13946333439735, 1.2895133297117107]",296
297,0.074606511,"(8, 7, 6, 3, 2, 1)","[78.2447444612801, 1.43842730772617]",297
300,0.519408133,"(8, 7, 5, 3, 2)","[55.30417006438121, 0.9368395257816168]",300
301,0.47745268,"(8, 7, 6, 3, 2)","[55.40945119126397, 1.085753503796076]",301
306,0.519964806,"(8, 7, 5, 3)","[43.326053432980885, 0.7393997864592059]",306
307,0.477964388,"(8, 7, 6, 3)","[43.43133455986364, 0.8883137644736651]",307
312,0.999999807,"(8, 4)","[24.367319593881067, 0.355315788712445]",312
318,0.999984484,"(8, 7, 5)","[26.529934000877773, 0.40717622248837204]",318
324,0.995702871,"(8, 7, 6)","[30.493904061528156, 0.5078645118833229]",324
330,1,"(8, 7)","[14.194657431903458, 0.20865375494276572]",330
